City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,natal,-5.795,-35.2094,299.27,83,20,3.6,BR,1731480465
186,tazacorte,28.629,-17.9293,292.69,73,75,1.54,ES,1731480466
187,taoudenni,22.6783,-3.9836,294.95,23,0,2.75,ML,1731480467
188,brookings,44.3114,-96.7984,279.36,82,100,9.77,US,1731480391
189,sinop,41.7711,34.8709,285.57,69,99,1.16,TR,1731480469
190,santana do livramento,-30.8908,-55.5328,285.99,99,1,2.18,BR,1731480471
191,carauari,-4.8828,-66.8958,298.09,77,98,1.44,BR,1731480473
192,anloga,5.7947,0.8973,300.85,77,89,2.43,GH,1731480474
193,ta`u,-14.2336,-169.5144,300.27,84,43,10.51,AS,1731480475
194,pemba,-12.974,40.5178,301.54,83,40,0.0,MZ,1731480476
195,bandar lampung,-5.4254,105.258,303.65,71,35,1.71,ID,1731480425
196,ciudad lazaro cardenas,17.9583,-102.2,297.54,89,100,1.66,MX,1731480478
197,san pedro pochutla,15.7333,-96.4667,297.43,87,87,1.89,MX,1731480372
198,poronaysk,49.2167,143.1167,271.36,45,0,3.5,RU,1731480480
199,correntina,-13.3433,-44.6367,292.67,97,59,1.23,BR,1731480482
200,escanaba,45.7453,-87.0646,280.13,70,100,5.14,US,1731480347
201,vydrino,51.485,104.8461,269.62,48,78,1.56,RU,1731480484
202,badger,64.8,-147.5333,255.27,76,75,1.54,US,1731480485
203,island harbour,50.724,-1.2758,282.19,68,100,1.79,GB,1731480487
204,hami,42.8,93.45,285.91,40,100,0.62,CN,1731480488
205,kangding,30.0513,101.9603,291.28,31,16,1.12,CN,1731480489
206,as sulayyil,20.4607,45.5779,299.96,19,0,2.56,SA,1731480490
207,portland,45.5234,-122.6762,283.6,91,100,1.34,US,1731480003
208,kargil,34.5667,76.1,275.01,28,100,0.76,IN,1731480492
209,kurumkan,54.3,110.3,268.99,54,17,3.64,RU,1731480493
210,orange walk,17.8333,-88.8333,294.72,97,70,1.14,BZ,1731480495
211,pemangkat,1.1667,108.9667,302.76,67,97,2.98,ID,1731480496
212,saipan,15.1355,145.701,302.54,86,75,6.17,MP,1731480497
213,nouadhibou,20.931,-17.0347,292.63,79,0,7.33,MR,1731480498
214,tamandare,-8.7597,-35.1047,297.33,81,14,4.44,BR,1731480499
215,sitia,35.2,26.0986,293.93,73,1,3.31,GR,1731480232
216,coxen hole,16.3244,-86.5366,298.75,83,20,1.03,HN,1731480501
217,dalandzadgad,43.5708,104.425,282.28,23,5,2.35,MN,1731480502
218,posse,-14.0931,-46.3694,293.29,96,100,0.98,BR,1731480503
219,shimanovsk,52.0,127.7,269.62,77,100,4.17,RU,1731480506
220,srivardhan,18.0333,73.0167,304.59,41,5,1.0,IN,1731480508
221,richards bay,-28.783,32.0377,296.17,78,86,9.07,ZA,1731480509
222,luganville,-15.5333,167.1667,299.1,88,100,3.79,VU,1731480510
223,selkirk,50.1436,-96.8845,279.92,71,100,4.92,CA,1731480511
224,revda,56.801,59.9303,268.61,86,100,3.39,RU,1731480512
225,junin de los andes,-39.9504,-71.0694,277.68,83,1,3.24,AR,1731480243
226,forster,-32.1667,152.5167,295.03,89,100,3.32,AU,1731480514
227,dellys,36.9172,3.9131,289.08,62,100,3.78,DZ,1731480516
228,danielskuil,-28.1887,23.5395,298.12,14,0,1.78,ZA,1731480517
229,la sarre,48.8002,-79.1996,268.56,87,22,2.76,CA,1731480250
230,torbat-e jam,35.244,60.6225,282.36,76,100,4.51,IR,1731480519
231,sibolga,1.7427,98.7792,303.24,67,91,2.51,ID,1731480520
232,alofi,-19.0595,-169.9187,297.09,83,75,5.14,NU,1731480521
233,isafjordur,66.0755,-23.124,275.84,77,9,18.24,IS,1731480522
234,semey,50.4111,80.2275,265.27,62,0,4.0,KZ,1731480523
235,shanhaiguan,39.9988,119.7564,286.28,91,100,0.49,CN,1731480524
236,nova vicosa,-17.8919,-39.3719,297.46,89,0,4.72,BR,1731480525
237,cheremukhovo,60.3484,59.9851,265.67,83,100,2.01,RU,1731480316
238,champerico,14.3,-91.9167,298.56,86,97,2.42,GT,1731480528
239,ulladulla,-35.35,150.4667,289.95,95,100,1.85,AU,1731480529
240,saldanha,-33.0117,17.9442,293.18,68,0,10.3,ZA,1731480359
241,miri,4.4148,114.0089,303.23,79,40,2.06,MY,1731480259
242,quibala,-10.7337,14.98,292.32,91,100,1.82,AO,1731480532
243,egilsstadir,65.2653,-14.3948,281.1,39,100,13.89,IS,1731480533
244,micheweni,-4.9667,39.8333,302.29,67,6,1.91,TZ,1731480534
245,geneina,13.45,22.45,297.0,18,0,7.6,SD,1731480535
246,greymouth,-42.4667,171.2,285.1,69,99,1.64,NZ,1731480536
247,alo,6.5486,4.2686,298.67,89,99,1.03,NG,1731480538
248,port mathurin,-19.6833,63.4167,297.75,81,35,7.74,MU,1731480539
249,lynden,48.9465,-122.4521,283.56,90,100,9.26,US,1731480540
250,moreira sales,-24.0622,-53.0069,286.35,86,0,3.38,BR,1731480541
251,pombas,17.1503,-25.0201,291.44,76,8,3.71,CV,1731480542
252,batatais,-20.8911,-47.585,293.0,73,98,0.65,BR,1731480543
253,masterton,-40.9597,175.6575,288.05,82,39,4.09,NZ,1731480544
254,al jawf,29.5,38.75,292.41,43,100,2.59,SA,1731480545
255,peranampattu,12.9333,78.7167,298.01,88,100,5.19,IN,1731480546
256,axim,4.8699,-2.2405,299.39,82,61,1.57,GH,1731480547
257,itoman,26.1247,127.6694,300.16,78,75,5.66,JP,1731480548
258,agropoli,40.3469,14.9966,285.83,79,100,2.68,IT,1731480550
259,ostroda,53.6967,19.9649,273.6,66,8,0.73,PL,1731480552
260,kruisfontein,-34.0033,24.7314,289.2,79,100,6.01,ZA,1731480553
261,lijiang,26.8688,100.2207,290.92,29,0,2.69,CN,1731480554
262,praid,46.55,25.1333,275.43,90,100,0.91,RO,1731480556
263,provins,48.5833,3.1667,277.45,88,100,3.86,FR,1731480557
264,newton,42.337,-71.2092,274.99,56,0,3.6,US,1731480509
265,laguna,38.421,-121.4238,282.23,89,0,3.09,US,1731480560
266,black forest,39.0131,-104.7008,273.28,77,0,4.63,US,1731480295
267,imperatriz,-5.5264,-47.4917,299.18,57,0,1.03,BR,1731480562
268,galax,36.6612,-80.924,278.76,75,0,2.57,US,1731480563
269,wilhelmsburg,48.1057,15.6054,274.82,99,1,0.48,AT,1731480564
270,mount gambier,-37.8333,140.7667,288.59,59,38,4.27,AU,1731480288
271,lompoc,34.6391,-120.4579,285.55,65,0,3.09,US,1731480566
272,peniche,39.3558,-9.3811,283.82,72,0,7.73,PT,1731480567
273,cururupu,-1.8283,-44.8683,295.68,95,69,0.74,BR,1731480568
274,kavaratti,10.5669,72.642,302.03,66,100,2.74,IN,1731480569
275,araioses,-2.89,-41.9031,298.15,83,7,3.74,BR,1731480571
276,hamilton,39.1834,-84.5333,279.62,76,75,5.66,US,1731480148
277,police,53.5521,14.5718,279.63,86,98,1.69,PL,1731480573
278,broken hill,-31.95,141.4333,298.96,16,0,7.81,AU,1731480574
279,beli,7.8587,10.9719,300.42,47,18,0.37,NG,1731480575
280,eusebio ayala,-25.4,-56.9667,287.56,43,0,1.92,PY,1731480576
281,coahuayana de hidalgo,18.7,-103.6583,296.97,94,100,1.5,MX,1731480577
282,yaren,-0.5472,166.916,302.05,66,39,6.5,NR,1731480578
283,changli,39.7042,119.1506,285.12,82,100,0.89,CN,1731480579
284,mar del plata,-38.0023,-57.5575,285.42,66,100,3.58,AR,1731480121
285,opuwo,-18.0607,13.84,298.72,25,100,1.36,NA,1731480582
286,amahai,-3.3333,128.9167,300.47,79,97,2.23,ID,1731480583
287,hinton,53.4001,-117.5857,269.21,91,36,2.06,CA,1731480584
288,bargaal,11.2864,51.0773,302.04,50,0,7.14,SO,1731480585
289,trelleborg,55.3751,13.1569,276.56,74,75,0.83,SE,1731480586
290,nieuw amsterdam,5.8833,-55.0833,298.08,89,15,4.06,SR,1731480587
291,nantucket,41.2835,-70.0995,279.21,52,100,14.16,US,1731480588
292,ust'-ilimsk,58.0006,102.6619,264.1,73,100,4.9,RU,1731480589
293,smithers,54.7804,-127.1743,274.33,100,100,2.06,CA,1731480590
294,kindu,-2.95,25.95,301.84,59,22,0.57,CD,1731480591
295,la passe,45.5549,-0.8967,279.59,90,11,6.99,FR,1731480593
296,cabo san lucas,22.8909,-109.9124,297.46,58,2,2.68,MX,1731480530
297,cooma,-36.2333,149.1333,293.25,47,100,2.66,AU,1731480595
298,port lincoln,-34.7333,135.8667,290.17,58,18,6.75,AU,1731480596
299,tsiombe,-25.3,45.4833,305.4,42,95,3.03,MG,1731480597
300,mahdishahr,35.7108,53.3556,280.05,66,100,2.0,IR,1731480598
301,northam,51.0333,-4.2167,280.71,89,98,3.61,GB,1731480599
302,sao jose da coroa grande,-8.8978,-35.1478,298.31,74,72,5.0,BR,1731480600
303,pathein,16.7833,94.7333,303.65,66,24,2.87,MM,1731480601
304,fort bragg,35.139,-79.006,283.61,71,0,2.24,US,1731480602
305,lebu,-37.6167,-73.65,284.03,92,1,8.69,CL,1731480386
306,zakamensk,50.3741,103.2863,269.23,64,99,2.17,RU,1731480605
307,salym,60.0625,71.4789,258.35,86,100,2.87,RU,1731480606
308,kone,-21.0595,164.8658,299.4,66,99,0.86,NC,1731480607
309,aykhal,66.0,111.5,259.14,96,100,1.59,RU,1731480608
